pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
ST,4/14/23,84.1,-1.89,5.76,"Senga, Kodai",667670,673540,,foul,,,,,9,Brent Rooker strikes out swinging.,R,R,R,OAK,NYM,S,,,2,2,2023,1.19,-0.22,0.81,2.21,,,,2,1,Bot,,,,,621512,,,3.927599284,-122.5362759,-1.413902461,11.18273623,24.48702862,-34.29720043,3.54,1.68,14,49.5,-6,84.6,2702,6.6,718578,673540,621512,624413,641645,500871,596019,643446,607043,516782,53.92,,,,,,,,8,5,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,36,0,0
ST,4/14/23,84,-1.75,5.81,"Senga, Kodai",667670,673540,,ball,,,,,14,Brent Rooker strikes out swinging.,R,R,R,OAK,NYM,B,,,0,2,2023,0.85,0.09,0.83,1.73,,,,2,1,Bot,,,,,621512,,,4.30529168,-122.2400568,-3.229260728,7.69022409,24.07945972,-30.88845125,3.32,1.69,,,,84.1,2607,6.3,718578,673540,621512,624413,641645,500871,596019,643446,607043,516782,54.18,,,,,,,,8,3,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,33,0,0.016
ST,4/14/23,84,-2.41,5.48,"Senga, Kodai",667670,673540,,called_strike,,,,,4,Brent Rooker strikes out swinging.,R,R,R,OAK,NYM,S,,,0,1,2023,0.81,0.21,-0.73,2.65,,,,2,1,Bot,,,,,621512,,,2.286121834,-122.4904272,-0.650686501,7.79989654,22.10717213,-30.16684567,3.46,1.69,,,,84.3,2575,6.2,718578,673540,621512,624413,641645,500871,596019,643446,607043,516782,54.29,,,,,,,,8,2,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,41,0,-0.027
ST,4/14/23,78.1,-1.65,6.06,"Senga, Kodai",676116,673540,,ball,,,,,13,Ryan Noda pops out to catcher Tomas Nido in foul territory.,R,L,R,OAK,NYM,B,,,1,1,2023,0.99,-0.57,-0.05,0.48,,,,1,1,Bot,,,,,621512,,,1.630617618,-113.7123624,-4.035402914,8.231879671,22.16598758,-36.56590692,3.24,1.68,,,,77.7,2563,6.1,718578,673540,621512,624413,641645,500871,596019,643446,607043,516782,54.38,,,,,,,,7,3,Sweeper,0,0,0,0,0,0,0,0,Strategic,Standard,30,0,0.036
ST,4/12/23,82,-2.92,5.1,"Ottavino, Adam",592518,493603,,ball,,,,,14,"Manny Machado grounds into a double play, second baseman Jeff McNeil to shortstop Francisco Lindor to first baseman Pete Alonso.   Trent Grisham out at 2nd.    Manny Machado out at 1st.",R,R,R,NYM,SD,B,,,2,2,2023,0.92,0.19,2.05,1,,,663757,1,9,Top,,,,,621512,,,9.529895886,-119.024853,-2.997120743,6.642285585,25.10701903,-29.94318752,3.74,1.75,,,,82.4,2631,6.9,718610,493603,621512,624413,643446,500871,596019,592192,607043,516782,53.61,,,,,,,,76,6,Sweeper,5,2,2,5,2,5,2,5,Standard,Standard,78,0,0.053
ST,4/12/23,81.7,2.8,5.46,"Raley, Brooks",572761,548384,,ball,,,,,7,Matt Carpenter flies out to left fielder Mark Canha.,R,L,L,NYM,SD,B,,,0,1,2023,-1.85,-0.03,-0.66,2.27,,665742,630105,1,6,Top,,,,,621512,,,-4.180023896,-118.8754225,-0.465811414,-16.49570476,25.43745097,-32.6220565,3.7,1.78,,,,80.4,2908,5.7,718610,548384,621512,624413,643446,500871,596019,592192,607043,516782,54.85,,,,,,,,47,2,Sweeper,3,2,2,3,2,3,2,3,Standard,Strategic,293,0,0.092
ST,4/12/23,82,3.19,5.44,"Raley, Brooks",572761,548384,,foul,,,,,4,Matt Carpenter flies out to left fielder Mark Canha.,R,L,L,NYM,SD,S,,,0,0,2023,-1.28,0.11,-0.42,2.49,,665742,630105,1,6,Top,,,,,621512,,,-5.646639776,-119.2137778,-0.261445817,-10.92809347,24.99706132,-31.34008225,3.57,1.77,179,70.5,57,81.1,2803,5.9,718610,548384,621512,624413,643446,500871,596019,592192,607043,516782,54.56,,,,,,,,47,1,Sweeper,3,2,2,3,2,3,2,3,Standard,Strategic,293,0,-0.043
ST,4/12/23,81.6,-3.05,5.1,"Ottavino, Adam",592518,493603,,ball,,,,,14,"Manny Machado grounds into a double play, second baseman Jeff McNeil to shortstop Francisco Lindor to first baseman Pete Alonso.   Trent Grisham out at 2nd.    Manny Machado out at 1st.",R,R,R,NYM,SD,B,,,0,1,2023,1.13,0.47,1.74,1.28,,,663757,1,9,Top,,,,,621512,,,8.659479649,-118.5937186,-2.930717129,9.115304269,21.67887171,-27.40444866,3.75,1.68,,,,82.4,2707,6.8,718610,493603,621512,624413,643446,500871,596019,592192,607043,516782,53.68,,,,,,,,76,2,Sweeper,5,2,2,5,2,5,2,5,Standard,Standard,85,0,0.044
ST,4/12/23,81.5,3.01,5.51,"Raley, Brooks",630105,548384,,foul,,,,,6,Jake Cronenworth hit by pitch.,R,L,L,NYM,SD,S,,,0,0,2023,-1.34,0.25,0.59,2.57,,665742,,1,6,Top,,,,,621512,,,-2.850113249,-118.6723326,-0.463211598,-11.99047349,24.25310921,-29.97780958,3.3,1.59,15,46.7,-8,80.7,2846,5.9,718610,548384,621512,624413,643446,500871,596019,592192,607043,516782,54.63,,,,,,,,46,1,Sweeper,3,2,2,3,2,3,2,3,Standard,Strategic,291,0,-0.059
ST,4/12/23,81.3,3.08,5.42,"Raley, Brooks",593428,548384,field_out,hit_into_play,,,,,8,"Xander Bogaerts grounds out, shortstop Francisco Lindor to first baseman Pete Alonso.",R,R,L,NYM,SD,X,6,ground_ball,2,2,2023,-1.56,0.13,0.26,1.68,,665742,,0,6,Top,109.03,158.14,,,621512,,,-3.308279743,-118.4121103,-2.037285197,-14.05625659,22.02913154,-30.81177975,3.57,1.68,30,94.8,-2,80.7,2844,5.8,718610,548384,621512,624413,643446,500871,596019,592192,607043,516782,54.73,0.283,0.269,0,1,0,0,2,45,5,Sweeper,3,2,2,3,2,3,2,3,Standard,Standard,287,0.068,-0.163
